template,ID,description,payload_type
"DELETE FROM airport WHERE ident=""{airports_ident}"";",airport-D1,Delete an airport using its unique identifier.,string
"DELETE FROM airport WHERE name = ""{airports_name}"";  ",airport-D2,"Delete airports that match a given name.",string
"DELETE FROM airport WHERE name LIKE ""{airports_name}"" OR keywords LIKE ""{airports_keywords}"";  ",airport-D3,"Delete airports matching a specific name or keyword.",string string
"DELETE FROM airport_frequencies WHERE type = ""{airport-frequencies_type}"";",airport-D4,Delete airport frequencies based on their type.,string
"DELETE FROM runways WHERE airport_ident = ""{runways_airport_ident}"";",airport-D5,Delete all runways associated with a specific airport identifier.,string
"DELETE FROM navaids WHERE ident = ""{navaids_ident}"";",airport-D6,Delete a navigation aid (navaid) using its identifier.,string
"DELETE FROM countries WHERE code = ""{countries_code}"";",airport-D7,Delete a country from the database using its code.,string
"DELETE FROM regions WHERE name = ""{regions_name}"";",airport-D8,Delete a region by matching its name.,string
