template,ID,description,payload_type
"UPDATE airport SET name = ""{airports_name}"" WHERE ident = ""{airports_ident}""",airport-U1,Update the name of an airport using its identifier.,string string
"UPDATE airport SET municipality = ""{airports_municipality}"" WHERE iso_country = ""{airports_iso_country}""",airport-U2,Update the municipality field for all airports in a given country.,string string
"UPDATE airport SET wikipedia_link = ""{airports_wikipedia_link}"" WHERE ident = ""{airports_ident}""",airport-U3,Set or update the Wikipedia link for a specific airport.,string string
"UPDATE airport SET home_link = ""{airports_home_link}"" WHERE name = ""{airports_name}""",airport-U4,Set or update the homepage URL for an airport by name.,string string
"UPDATE airport_frequencies SET description = ""{airport-frequencies_description}"" WHERE airport_ident = ""{airport-frequencies_airport_ident}"";",airport-U5,Update the description of an airport frequency using its airport identifier.,string string
"UPDATE airport_frequencies SET frequency_mhz = {airport-frequencies_frequency_mhz} WHERE type = ""{airport-frequencies_type}"";",airport-U6,Update the frequency for a specific type of airport frequency.,float string
"UPDATE navaids SET name = ""{navaids_name}"" WHERE ident = ""{navaids_ident}"";",airport-U7,Update the name of a navaid using its identifier.,string string
"UPDATE countries SET keywords = ""{countries_keywords}"" WHERE code = ""{countries_code}"";",airport-U8,Update the keywords field for a country by its code.,string string
"UPDATE regions SET keywords = ""{regions_keywords}"" WHERE iso_country = ""{regions_iso_country}"";",airport-U9,Updates keywords for all regions in a specified country.,string string
"UPDATE airport_frequencies SET type = 'TWR' WHERE airport_ident IN ('{airports_ident}','{airports_ident}','{airports_ident}','{airports_ident}');",airport-U10,Updates keywords for all regions in a specified country.,string string string string
